                   l                  sxy                  sxz                  syz                  sxx                  syy                  szz
                  10    -0.00232773203511     0.00001010971910    -0.00000681380078     0.48998896113960     0.01572282911578     0.49428820974461
                  20    -0.00179110788052     0.00002778819890     0.00000263028474     0.47579469528010     0.03380731132111     0.49039799339878
                  30    -0.00140590477645    -0.00001377885876     0.00001963850369     0.46763505266389     0.04418843082285     0.48817651651326
                  40    -0.00143391554598    -0.00002784993889    -0.00002430820671     0.46473075933136     0.04792266265634     0.48734657801230
                  50    -0.00131274258637     0.00000895378723    -0.00003277106290     0.45825950766270     0.05614449640430     0.48559599593300
