                   x          segdensity2          segdensity2          segdensity3          segdensity4          segdensity5          segdensity6          segdensity7          segdensity8
 l=         100 t=   7.5238842007885571     
                   1   226.53000000000000   432.96000000000004   486.11000000000001   444.87000000000000   224.90000000000001  4942.09000000000015  4049.32000000000016  3643.22000000000025
                   2   205.59999999999999   429.07999999999998   485.67000000000002   430.18000000000001   215.94000000000000  4931.19999999999982  4131.94000000000051  3620.38999999999987
                   3   167.05000000000001   310.59000000000003   377.31000000000000   311.66000000000003   148.87000000000000  4380.81000000000040  5067.85000000000036  3685.86000000000013
                   4   168.64000000000001   300.31000000000000   355.18000000000001   295.22000000000003   149.52000000000001  4331.82999999999993  5173.35999999999967  3675.94000000000005
                   5   200.53999999999999   310.57999999999998   349.56999999999999   329.40000000000003   148.41000000000000  3551.26999999999998  4164.98999999999978  5395.23999999999978
                   6   189.41000000000000   320.44000000000000   335.69999999999999   330.22000000000003   155.64000000000001  3577.15999999999985  4190.86999999999989  5350.56000000000040
                   7   168.50000000000000   437.49000000000001   548.99000000000001   432.00000000000000   226.31999999999999  4869.39000000000033  4026.86999999999989  3740.44000000000005
                   8   158.47999999999999   436.13000000000000   543.50999999999999   408.38000000000000   235.52000000000001  4926.82999999999993  4116.19000000000051  3624.96000000000004
                   9   160.88000000000000   317.67000000000002   372.40000000000003   323.26999999999998   153.97999999999999  4340.92000000000007  5100.53999999999996  3680.34000000000015
                  10   164.16000000000000   296.62000000000000   352.15000000000003   309.50999999999999   136.02000000000001  4356.27999999999975  5165.85999999999967  3669.40000000000009
                  11   142.65000000000001   297.76999999999998   348.32999999999998   252.70000000000002   149.69000000000000  3804.78000000000020  4136.55000000000018  5317.52999999999975
                  12   132.44999999999999   301.28000000000003   336.30000000000001   257.81999999999999   148.44000000000000  3836.43000000000029  4161.56999999999971  5275.71000000000004
                  13   213.17000000000002   440.11000000000001   509.68000000000001   491.48000000000002   225.33000000000001  4721.27999999999975  4034.48000000000002  3814.47000000000025
                  14   210.65000000000001   444.12000000000000   491.69999999999999   479.78000000000003   217.66000000000000  4754.63000000000011  4127.10999999999967  3724.34999999999991
                  15   169.97000000000000   317.43000000000001   361.95999999999998   271.94000000000000   161.39000000000001  4504.67000000000007  4999.60999999999967  3663.03000000000020
                  16   173.14000000000001   300.26999999999998   353.72000000000003   257.28000000000003   154.42000000000002  4495.92000000000007  5042.38000000000011  3672.86999999999989
                  17   152.28999999999999   293.44999999999999   346.56000000000000   307.81999999999999   152.49000000000001  3753.93000000000029  4251.03999999999996  5192.42000000000007
                  18   147.34000000000000   298.48000000000002   348.75999999999999   321.61000000000001   141.74000000000001  3808.61000000000013  4259.06000000000040  5124.40000000000055
                  19   210.75999999999999   449.73000000000002   540.33000000000004   426.69999999999999   229.50999999999999  4992.61999999999989  3641.09000000000015  3959.26000000000022
                  20   197.05000000000001   441.13000000000000   518.96000000000004   422.97000000000003   227.68000000000001  5031.80000000000018  3743.32000000000016  3867.09000000000015
                  21   171.47999999999999   318.01999999999998   359.81000000000000   334.68000000000001   138.45000000000002  4048.07999999999993  5366.48999999999978  3712.99000000000024
                  22   165.61000000000001   307.12000000000000   353.59000000000003   313.00999999999999   132.41000000000000  4061.46000000000004  5491.48000000000047  3625.32000000000016
                  23   136.93000000000001   307.81999999999999   364.42000000000002   313.95999999999998   161.72999999999999  3739.51000000000022  4242.07999999999993  5183.55000000000018
                  24   146.50999999999999   288.69999999999999   367.74000000000001   308.70999999999998   158.56000000000000  3786.57999999999993  4241.98000000000047  5151.22000000000025
                  25   221.53999999999999   430.15000000000003   496.36000000000001   441.03000000000003   226.39000000000001  5033.72000000000025  3660.36999999999989  3940.44000000000005
                  26   213.23000000000002   414.31999999999999   481.50999999999999   425.26999999999998   223.28000000000000  5136.09000000000015  3670.36000000000013  3885.94000000000005
                  27   169.50000000000000   338.69999999999999   347.04000000000002   328.25000000000000   160.93000000000001  4164.02000000000044  4395.15999999999985  4546.40000000000055
                  28   167.12000000000000   309.38000000000000   347.34000000000003   315.61000000000001   148.22000000000000  4165.44000000000051  4495.09000000000015  4501.80000000000018
                  29   147.72999999999999   285.99000000000001   377.48000000000002   306.55000000000001   152.45000000000002  3756.94000000000005  5199.94000000000051  4222.92000000000007
                  30   136.12000000000000   305.44999999999999   366.78000000000003   317.12000000000000   154.94000000000000  3770.74000000000024  5245.46000000000004  4153.39000000000033
                  31   229.61000000000001   453.63000000000000   544.13000000000000   429.87000000000000   207.18000000000001  3968.63999999999987  3678.59000000000015  4938.35000000000036
                  32   233.33000000000001   445.75000000000000   503.92000000000002   424.82999999999998   216.59000000000000  3997.32000000000016  3749.09000000000015  4879.17000000000007
                  33   146.72999999999999   331.63000000000000   370.54000000000002   319.50000000000000   145.72000000000000  5269.88000000000011  4164.53999999999996  3701.46000000000004
                  34   135.67000000000002   315.31999999999999   366.34000000000003   302.48000000000002   151.58000000000001  5242.39000000000033  4276.93000000000029  3659.28999999999996
                  35   144.53999999999999   287.73000000000002   354.57999999999998   263.42000000000002   158.36000000000001  3604.63999999999987  5403.65000000000055  4233.07999999999993
                  36   151.53000000000000   297.03000000000003   360.97000000000003   260.53000000000003   157.72000000000000  3580.94000000000005  5429.27999999999975  4212.00000000000000
