                   l               thetax            thetaxdev               thetay            thetaydev               thetaz            thetazdev
                  10    -0.49544304673824     0.00007582851641    -0.46308358183240     0.00015084552167     0.95852662857061     0.00020689160922
                  20    -0.49540226568988     0.00006174877134    -0.46252182770481     0.00027265211153     0.95792409339466     0.00026581448464
                  30    -0.49546704641888     0.00004529203170    -0.46219502040481     0.00006268778175     0.95766206682367     0.00008906853267
                  40    -0.49547698814411     0.00004501941991    -0.46244030795467     0.00027544573947     0.95791729609876     0.00029031337961
                  50    -0.49557479787871     0.00008877849145    -0.46279310078634     0.00018067299187     0.95836789866503     0.00012445503613
