                   l                  sxy                  sxz                  syz                  sxx                  syy                  szz
                 100    -0.00137835995984    -0.00001135736250     0.00000297098826     0.45394269488333     0.06162803894011     0.48442926617655
                 200    -0.00014865863968     0.00000593339841     0.00000291716092     0.35849947697528     0.18535782511319     0.45614269791153
                 300    -0.00000879263978     0.00000567057251     0.00002871282999     0.30417127815364     0.26240134378340     0.43342737806296
                 400    -0.00001554728394    -0.00000781746824    -0.00000835535951     0.29557515155191     0.28405128018506     0.42037356826303
                 500    -0.00000037996456    -0.00002373452765     0.00001338842644     0.29608283804246     0.29227568729530     0.41164147466224
