                   l            thetaxbin         thetaxbindev            thetaybin         thetaybindev            thetazbin         thetazdevbin
 l=          10
                   1    -0.49892909355553     0.00068694741180    -0.46438676162240     0.01025585460009     0.96331585517793     0.00995231801616
                   2    -0.48800262647367     0.00891451075080    -0.45136860673637     0.02609058540246     0.93937123321004     0.03487566172853
                   3    -0.49957308255912     0.00042703578589    -0.48861033876732     0.00479540331003     0.98818342132645     0.00517795085392
                   4    -0.49841637503170     0.00035144209283    -0.46970128347250     0.01785501509536     0.96811765850420     0.01807759288502
                   5    -0.48617915762945     0.01506274083052    -0.45840197270305     0.00635601000779     0.94458113033250     0.01016779869582
                   6    -0.49910391509512     0.00017841135396    -0.47912481624097     0.01399779887073     0.97822873133609     0.01382410917079
                   7    -0.49472985240358     0.00087994929854    -0.42011169488316     0.02220370396556     0.91484154728674     0.02137482685677
                   8    -0.49864133639807     0.00072661856419    -0.44651866039903     0.01583974623307     0.94515999679710     0.01621477292646
                   9    -0.49606387772315     0.00353723571909    -0.48256391489560     0.00870151786193     0.97862779261874     0.01197558293015
                  10    -0.49921341105029     0.00047018402488    -0.48992159708585     0.00192755172297     0.98913500813614     0.00152547696895
                  11    -0.49798783340499     0.00088824640674    -0.42729657389826     0.02174702121223     0.92528440730325     0.02158978501402
                  12    -0.49825958404423     0.00067989757852    -0.45160282377541     0.02116994430874     0.94986240781965     0.02061427738372
                  13    -0.47973421262604     0.01342226436618    -0.43746802979429     0.01120309478319     0.91720224242033     0.00635910430074
                  14    -0.49831412785725     0.00107801451958    -0.44627630211605     0.00526581599199     0.94459042997329     0.00554869042190
                  15    -0.49854833592970     0.00050572724919    -0.44130522581389     0.00356741262759     0.93985356174359     0.00315479906750
                  16    -0.49800334232015     0.00142849281662    -0.48967565124624     0.00122614336010     0.98767899356639     0.00044465342746
                  17    -0.49890306337205     0.00043603017792    -0.48022224795568     0.00928054001574     0.97912531132774     0.00942722868290
                  18    -0.48597765611496     0.01501840973284    -0.46586982480233     0.01130421046836     0.95184748091730     0.02466400436534
                  19    -0.49945053213141     0.00048923535267    -0.48379639617113     0.00752088387904     0.98324692830254     0.00745082458994
                  20    -0.49832474339868     0.00064767617498    -0.45513507552009     0.01459577735515     0.95345981891876     0.01519351661095
                  21    -0.47980007016396     0.01028149295204    -0.46169925994297     0.01538952081421     0.94149933010693     0.02485532232174
                  22    -0.49540997783694     0.00820813470247    -0.47650323502927     0.00150558968621     0.97191321286621     0.00875999673699
                  23    -0.49832314480534     0.00092005301328    -0.45050499480289     0.01237866461979     0.94882813960823     0.01324992425059
                  24    -0.49853951265183     0.00073121870674    -0.46607447568673     0.03435695629947     0.96461398833855     0.03506854235713
                  25    -0.49906180021831     0.00057722081845    -0.48829717425410     0.00126519182431     0.98735897447241     0.00133712779943
                  26    -0.49864767512839     0.00044743236611    -0.49064937196000     0.00298946706925     0.98929704708839     0.00343307888770
                  27    -0.49882920348910     0.00036170616591    -0.46731342465213     0.00708600272710     0.96614262814123     0.00715504817471
                  28    -0.49902109567311     0.00056479868844    -0.44638929688253     0.01008210148036     0.94541039255564     0.01042778412743
                  29    -0.49569444161696     0.00439565829963    -0.41123059558823     0.04012958337705     0.90692503720519     0.04394183177410
                  30    -0.49870292718452     0.00101163834769    -0.43004133778532     0.01528138241291     0.92874426496985     0.01591730724670
                  31    -0.49909188813462     0.00044432616590    -0.49252705125536     0.00402795976278     0.99161893938998     0.00439455929393
                  32    -0.48770949651976     0.01016574814884    -0.45994860233604     0.00405602842788     0.94765809885580     0.01395789002186
                  33    -0.48847340535199     0.00973462039546    -0.47848707261855     0.00859099198778     0.96696047797054     0.01832277558331
                  34    -0.49893155198612     0.00063647006433    -0.47834773886457     0.01970374158402     0.97727929085069     0.02034020290408
                  35    -0.49820756075653     0.00015714797982    -0.42226282170245     0.03571499729532     0.92047038245898     0.03586482288030
                  36    -0.49849517608572     0.00077453976384    -0.41278012631551     0.05474880270640     0.91127530240123     0.05547737680130
                  37    -0.49921555041267     0.00073175309750    -0.44904090519819     0.02209137089290     0.94825645561087     0.02258761420763
                  38    -0.49775242589848     0.00193393846760    -0.47457446886869     0.00315268608293     0.97232689476718     0.00185977739571
                  39    -0.49916208193673     0.00044495990536    -0.48521930395755     0.00064440792540     0.98438138589428     0.00092884104467
                  40    -0.49291941033005     0.00250929389485    -0.48171666460759     0.00509569469419     0.97463607493764     0.00759854444757
                  41    -0.48987587278871     0.00942921206447    -0.42917567581288     0.02395201238407     0.91905154860160     0.03233988375951
                  42    -0.49913756211233     0.00054342865105    -0.47994883152701     0.00994505146743     0.97908639363934     0.00982787053236
                  43    -0.48930946223964     0.00847368693645    -0.43975782875415     0.00808477904153     0.92906729099379     0.00295142880919
                  44    -0.49732972191449     0.00193709634811    -0.47189053427888     0.01483025351916     0.96922025619337     0.01290864354115
                  45    -0.49953024502680     0.00036821125426    -0.48619979225784     0.00865153450496     0.98573003728464     0.00901603641462
                  46    -0.49899922554470     0.00026183224200    -0.48622420820845     0.00405108414441     0.98522343375315     0.00379696505366
                  47    -0.49903967443818     0.00027342499245    -0.47536969856170     0.01143666552308     0.97440937299989     0.01170480467336
                  48    -0.49268263096274     0.00530480619037    -0.46646323643756     0.01561840995291     0.95914586740029     0.02092227041965
                  49    -0.48949236263311     0.00949496342197    -0.45470420518162     0.00197781122996     0.94419656781472     0.00751721540717
                  50    -0.49108484639801     0.00716265192014    -0.47683323130567     0.00430588663909     0.96791807770368     0.00374714132021
                  51    -0.49876796329372     0.00050339235224    -0.48561069680588     0.00397302635677     0.98437866009960     0.00354622423503
                  52    -0.49929416243795     0.00028013994274    -0.45576257071701     0.00321427188470     0.95505673315495     0.00332069381787
                  53    -0.49898209438303     0.00060684513752    -0.48983544067154     0.00177576731431     0.98881753505457     0.00234524605540
                  54    -0.49891731040792     0.00053321895477    -0.48448375272438     0.00232609289647     0.98340106313230     0.00282228062144
                  55    -0.49715144871005     0.00194226517417    -0.44710838445483     0.01382507451477     0.94425983316488     0.01479447691034
                  56    -0.49678301040245     0.00230224252481    -0.45564246860872     0.00925100995898     0.95242547901117     0.01029794403706
                  57    -0.49374017734587     0.00465711401420    -0.44711991877121     0.00622567303797     0.94086009611708     0.00282521274222
                  58    -0.49707766322611     0.00204396750043    -0.46127906722183     0.01856763111634     0.95835673044794     0.02060929090814
                  59    -0.49919037526563     0.00058964654644    -0.48793183336426     0.00111336300690     0.98712220862989     0.00113331617623
                  60    -0.49497614033313     0.00265252607678    -0.42805764219488     0.00588714883114     0.92303378252801     0.00835683454490
                  61    -0.49917565673138     0.00054276908171    -0.46614209026377     0.01499923411438     0.96531774699515     0.01535231010823
                  62    -0.49651793328054     0.00113921245511    -0.40008314304685     0.01412575249383     0.89660107632739     0.01406022011979
                  63    -0.49894274189747     0.00041135184747    -0.41864333768811     0.00769390922200     0.91758607958559     0.00809784389522
                  64    -0.49066708303860     0.00918080087821    -0.46196143432589     0.01387168012043     0.95262851736449     0.01903449753775
                  65    -0.49933831984808     0.00035916973303    -0.48582486564768     0.00711943831026     0.98516318549576     0.00699063095158
                  66    -0.49883159757547     0.00051912431361    -0.48964923719833     0.00683561569330     0.98848083477380     0.00735117565634
                  67    -0.48863628734411     0.01150231159918    -0.44046584658963     0.00824438539334     0.92910213393374     0.00952293686189
                  68    -0.49628927349411     0.00191543951937    -0.40845708370211     0.00999619944436     0.90474635719622     0.01132818035127
                  69    -0.48686436895235     0.00622731888412    -0.45975596311838     0.01217741005384     0.94662033207073     0.01688661637458
                  70    -0.49720447558163     0.00206305067323    -0.43783193847742     0.01061712964755     0.93503641405905     0.01261956925963
