                   l                  ete               etedev              etepara           eteparadev              eteperp           eteperpdev                  rog               rogdev
                  10    60.50644325406072     0.83095508148191     0.45267589277073     0.04666808351522    60.49790549712628     0.83221399377766    36.56640433118337     0.12992775214839
                  20    59.20685963440790     0.28612375896906     0.52644924029807     0.01889622621205    59.19623335730942     0.28654811522817    36.36628041256654     0.04598760396993
                  30    58.44295161972818     0.09025937824235     0.57237975418562     0.00455509530606    58.43104311980733     0.09048462836087    36.23872531997625     0.01541615113963
                  40    58.19126270260903     0.19910408243067     0.58755443723991     0.01297760986164    58.17868374674581     0.19962968743687    36.19904192532163     0.03044924455473
                  50    57.62559965992649     0.11919411620695     0.62110713248814     0.00339210281104    57.61159722949763     0.11936175514419    36.11318103265835     0.01759432142252
