                   l                  ete               etedev                  rog               rogdev               maxete                    t
                  10    60.50644325406072     0.83095508148191    36.56640433118336     0.12992775214839   149.00335566691106     0.78002952705427
                  20    59.20685963440790     0.28612375896906    36.36628041256654     0.04598760396993   149.00335566691106     1.33056632069833
                  30    58.44295161972818     0.09025937824235    36.23872531997624     0.01541615113963   149.00335566691106     1.63518754342065
                  40    58.19126270260902     0.19910408243067    36.19904192532163     0.03044924455473   149.00335566691106     2.13438154591694
                  50    57.62559965992649     0.11919411620695    36.11318103265835     0.01759432142252   149.00335566691106     2.44295132688759
